C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0005621888,0001249104                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0005622148,0001249140                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0005622284,0001249152                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0005622302,0001249154                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0005622310,0001249166                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0005622404,0001249222                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0005622578,0001249264                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0005622793,0001249298                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0005622895,0001249312                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0005622904,0001249314                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0005622938,0001249366                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0005623057,0001249488                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0005623300,0001249539                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0005623865,0001249603                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0005623970,0001249625                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0005623976,0001249627                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0005624009,0001249676                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0005624162,0001249823                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,16:00:00,REGULAR,0005624418,0001249881                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,20:00:00,REGULAR,0005625061,0001249945                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,00:00:00,REGULAR,0005625234,0001249962                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,04:00:00,REGULAR,0005625242,0001249964                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,08:00:00,REGULAR,0005625272,0001250012                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,12:00:00,REGULAR,0005625400,0001250135                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,16:00:00,REGULAR,0005625646,0001250181                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/21/2017,20:00:00,REGULAR,0005626344,0001250226                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,00:00:00,REGULAR,0005626515,0001250240                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,04:00:00,REGULAR,0005626521,0001250246                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,08:00:00,REGULAR,0005626546,0001250287                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,12:00:00,REGULAR,0005626660,0001250391                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,16:00:00,REGULAR,0005626909,0001250446                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/22/2017,20:00:00,REGULAR,0005627534,0001250497                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,00:00:00,REGULAR,0005627697,0001250522                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,04:00:00,REGULAR,0005627712,0001250527                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,08:00:00,REGULAR,0005627741,0001250578                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,12:00:00,REGULAR,0005627874,0001250697                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,16:00:00,REGULAR,0005628113,0001250755                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/23/2017,20:00:00,REGULAR,0005628662,0001250806                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0000929806,0003447515                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0000929819,0003447533                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0000929824,0003447616                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0000929929,0003447989                                            
